neighborhood,avg_price_per_sqfeet
Copacabana,10660.279974638468
Ipanema,22231.15981839676
Barra da Tijuca,9822.3218232992
Flamengo,12688.70969326263
Leblon,23695.009413590702
Itanhangá,4084.9271958363656
Santa Teresa,0
Centro,6620.295281106534
Gávea,15218.420187322237
Campo Grande,3828.8691174517426
Laranjeiras,10519.573345321764
Humaitá,11391.792691159362
Botafogo,12505.03576823586
Santo Cristo,0
Glória,8819.407127646007
São Conrado,0
São Cristóvão,0
Lagoa,14706.067984495945
Praça Seca,0
Maracanã,7608.689706491012
Tijuca,7570.991709587448
São Francisco Xavier,0
Catete,9896.63308691956
Praia da Bandeira,12181.263164690688
Cacuia,4515.651441102148
Recreio dos Bandeirantes,6506.923509736575
Jacarepaguá,6109.880794394671
Vidigal,9146.05917997606
Marechal Hermes,7111.255231900453
Jardim Botânico,0
Rio Comprido,5664.434069122966
Senador Camará,3251.742985933769
Irajá,5084.783766616581
Vargem Grande,4551.071473101597
Leme,11833.606462840267
Vila da Penha,0
Anil,5437.6135460373
Estácio,5203.631062230533
Grajaú,5514.173577628745
Cosme Velho,10129.875836388936
Gardênia Azul,4868.055555555556
Taquara,4701.9314620214645
Bangu,3261.3930057489797
Alto da Boa Vista,5513.620616661526
Urca,13808.196368318026
Joá,12340.148179303469
Penha Circular,3874.881305682543
Jardim Sulacap,0
Praça da Bandeira,0
Encantado,4225.235926087741
Vila Isabel,0
Lins de Vasconcelos,3299.3428527325327
Cosmos,2721.4188211710075
Santíssimo,2809.3670573047275
Gamboa,5389.413842023555
Bonsucesso,3901.2026130507497
Camorim,5532.114393153382
Piedade,4612.25508237803
Olaria,4142.316550709453
Vila Valqueire,0
Vargem Pequena,4776.89008045625
Cidade de Deus,0
Guaratiba,3036.7922000814774
Riachuelo,4482.618422261666
Barra de Guaratiba,9717.666156828947
Padre Miguel,2996.3207933538906
Andaraí,5861.080993307764
Cidade Nova,0
Del Castilho,6036.880831393831
Tauá,4441.299616855084
Curicica,5097.504910234447
Rocinha,0
Engenho Novo,3997.111078855169
Engenho de Dentro,4870.484045860283
Santa Cruz,0
Inhoaíba,2660.8589195462396
Maria da Graça,5164.290861190164
Jardim Carioca,0
Freguesia (Jacarepaguá),0
Mangueira,0
Cachambi,6004.547895104475
Portuguesa,4659.980199414223
Campinho,4432.445413629557
Água Santa,4085.130036975396
Cavalcanti,2992.337522692924
Freguesia (Ilha),0
Higienópolis,3671.542421655497
Bento Ribeiro,3370.990246502026
Méier,5545.427504222743
Todos os Santos,5767.410756850141
Paciência,2744.112718563705
Engenho da Rainha,3979.00931697023
Cordovil,3974.6881186907976
Rocha Miranda,4110.478245334998
Pechincha,4945.143856645268
Vaz Lobo,3657.206904091297
Pedra de Guaratiba,3262.6219667233677
Barros Filho,0
Tanque,4050.7912330073623
Benfica,3890.59921590217
Osvaldo Cruz,0
Vicente de Carvalho,5898.589826286705
Penha,4448.432864358974
Catumbi,4455.4259452846845
Pilares,5496.6935511848715
Rocha,4078.6240488899343
Cocotá,4496.891084553176
Saúde,5564.207300449021
Ricardo de Albuquerque,16727.57303671938
Sampaio,3712.127010556212
Parada de Lucas,3786.3100498531653
Quintino Bocaiúva,3993.52178182291
Jacaré,3271.9175357479403
Pavuna,2774.789430033581
Brás de Pina,0
Jardim Guanabara,0
Paquetá,0
Galeão,4312.7291525469445
Magalhães Bastos,5088.213900181633
Madureira,3586.859946804007
Realengo,3248.0416367643843
Bancários,3861.763711777828
Inhaúma,3606.1562126429494
Colégio,5272.183113946908
Parque Anchieta,0
Gericinó,0
Abolição,3633.896507279532
Anchieta,3374.3323035785897
Vila Militar,0
Ramos,4354.588800941287
Senador Vasconcelos,3017.82377891833
Deodoro,0
Complexo do Alemão,0
Vila Kosmos,0
Moneró,4965.805723254404
Pitangueiras,4923.059753429241
Guadalupe,3270.7692972859145
Tomás Coelho,3344.869263659659
Cascadura,3723.026376173529
Campo dos Afonsos,6780.338642540048
Vasco da Gama,5244.063746326459
Ribeira,13122.18128913559
Sepetiba,0
Honório Gurgel,3117.47462453954
Engenheiro Leal,4283.7123089701
Vigário Geral,3392.537335849042
Vista Alegre,5556.5184466660585
Grumari,7325.179758513092
Manguinhos,2940.074999608319
Coelho Neto,3177.712454478875
Caju,4729.265326783184
Maré,0
Parque Colúmbia,0
